Nome Escolhido;Certeza (%);Frequencia Final;Nomes Agrupados
Abade, André;95.0;1;Abade, André (Freq:1, Sim:100%) | Abade, André da Silva (Freq:1, Sim:90%)
Abade, Natanael Antunes;100.0;2;Abade, Natanael Antunes (Freq:2, Sim:100%)
Abadio, Ana Karina Rodrigues;100.0;3;Abadio, Ana Karina Rodrigues (Freq:3, Sim:100%)
Abbad, Gardênia da Silva;100.0;47;Abbad, Gardênia da Silva (Freq:47, Sim:100%)
Abdala, Ingrid Gomes;100.0;2;Abdala, Ingrid Gomes (Freq:2, Sim:100%)
Abdalla Filho, Elias;100.0;4;Abdalla Filho, Elias (Freq:4, Sim:100%)
Abdalla Júnior, Humberto;100.0;10;Abdalla Júnior, Humberto (Freq:10, Sim:100%)
Abdalla, Adibe Luiz;97.5;8;Abdalla, Adibe Luiz (Freq:8, Sim:100%) | Abdalla Filho, Adibe Luiz (Freq:1, Sim:95%)
Abdalla, Dulcineia Saes Parra;100.0;3;Abdalla, Dulcineia Saes Parra (Freq:3, Sim:100%)
Abers, Rebecca Neaera;100.0;9;Abers, Rebecca Neaera (Freq:9, Sim:100%)
Abigalil, Albamaria Paulino de Campos;100.0;2;Abigalil, Albamaria Paulino de Campos (Freq:2, Sim:100%)
Abrahão, Júlia Issy;100.0;11;Abrahão, Júlia Issy (Freq:11, Sim:100%)
Abrantes, Paulo Cesar Coelho;96.7;41;Abrantes, Paulo Cesar Coelho (Freq:41, Sim:100%) | Abrantes, Paulo Cesar Coelho (org.) (Freq:1, Sim:95%) | Abrantes, Paulo Cesar Coelho (trad.) (Freq:1, Sim:95%)
Abras, Anuar;100.0;5;Abras, Anuar (Freq:5, Sim:100%)
Abreu Neta, Izabel Castro de;100.0;2;Abreu Neta, Izabel Castro de (Freq:2, Sim:100%)
Abreu, Amanda Maria Santos;100.0;3;Abreu, Amanda Maria Santos (Freq:3, Sim:100%)
Abreu, Anna Karolina de Carvalho;100.0;2;Abreu, Anna Karolina de Carvalho (Freq:2, Sim:100%)
Abreu, Breno Tenório Ramalho de;100.0;2;Abreu, Breno Tenório Ramalho de (Freq:2, Sim:100%)
Abreu, Carolina Gonçalves;100.0;2;Abreu, Carolina Gonçalves (Freq:2, Sim:100%)
Abreu, Cilair Rodrigues de;99.0;1;Abreu, Cilair Rodrigues de (Freq:1, Sim:100%) | Abreu, Cilair Rodrigues de (Freq:1, Sim:98%)
Abreu, Claudilene Lima de;100.0;2;Abreu, Claudilene Lima de (Freq:2, Sim:100%)
Abreu, Daisy Maria Xavier de;100.0;3;Abreu, Daisy Maria Xavier de (Freq:3, Sim:100%)
Abreu, Daniela Cavalcante de;100.0;1;Abreu, Daniela Cavalcante de (Freq:1, Sim:100%)
Abreu, Danielle Matos de Menezes;100.0;2;Abreu, Danielle Matos de Menezes (Freq:2, Sim:100%)
Abreu, Emanuel Felipe Medeiros;100.0;2;Abreu, Emanuel Felipe Medeiros (Freq:2, Sim:100%)
Abreu, Fabrício Santos Dias de;100.0;2;Abreu, Fabrício Santos Dias de (Freq:2, Sim:100%)
Abreu, Glauber Gonçalves de;100.0;2;Abreu, Glauber Gonçalves de (Freq:2, Sim:100%)
Abreu, Ingergleice Machado de Oliveira;100.0;2;Abreu, Ingergleice Machado de Oliveira (Freq:2, Sim:100%)
Abreu, Ivan Guilherme Hamouche;100.0;2;Abreu, Ivan Guilherme Hamouche (Freq:2, Sim:100%)
Abreu, Joana Ribeiro de;100.0;2;Abreu, Joana Ribeiro de (Freq:2, Sim:100%)
Abreu, Lucijane Monteiro de;100.0;2;Abreu, Lucijane Monteiro de (Freq:2, Sim:100%)
Abreu, Ricardo Gadelha de;99.0;1;Abreu, Ricardo Gadelha de (Freq:1, Sim:100%) | Abreu, Ricardo Gadelha de (Freq:1, Sim:98%)
Abreu, Robson Lopes;100.0;2;Abreu, Robson Lopes (Freq:2, Sim:100%)
Abreu, Samia;100.0;4;Abreu, Samia (Freq:4, Sim:100%)
Abreu, Simone de Paula Miranda;100.0;3;Abreu, Simone de Paula Miranda (Freq:3, Sim:100%)
Abreu, Tainá de;100.0;3;Abreu, Tainá de (Freq:3, Sim:100%)
Abreu, Tarcísio Lyra dos Santos;100.0;2;Abreu, Tarcísio Lyra dos Santos (Freq:2, Sim:100%)
Abreu, Thiago Ayres Lazzarotti;100.0;2;Abreu, Thiago Ayres Lazzarotti (Freq:2, Sim:100%)
Abreu, Thomaz Antonio Santos;100.0;2;Abreu, Thomaz Antonio Santos (Freq:2, Sim:100%)
Abreu, Urbano Gomes Pinto de;100.0;8;Abreu, Urbano Gomes Pinto de (Freq:8, Sim:100%)
Abreu, Welles Matias de;100.0;4;Abreu, Welles Matias de (Freq:4, Sim:100%)
Abreu, Breno Silva de;100.0;2;Abreu, Breno Silva de (Freq:2, Sim:100%)
Abreu, Gabriela de Azevedo;100.0;4;Abreu, Gabriela de Azevedo (Freq:4, Sim:100%)
Abreu, Luiz Eduardo;100.0;2;Abreu, Luiz Eduardo (Freq:2, Sim:100%)
Abreu-Rodrigues, Josele;100.0;7;Abreu-Rodrigues, Josele (Freq:7, Sim:100%)
Abrão, Aline Lauria Pires;97.7;2;Abrão, Aline Lauria Pires (Freq:2, Sim:100%) | Pires, Aline Lauria (Freq:2, Sim:95%) | Abrão, Aline Lauria Pires (Freq:1, Sim:98%)
Abrão, Fernando Yano;95.5;1;Abrão, Fernando Y. (Freq:1, Sim:100%) | Abrão, Fernando Yano (Freq:1, Sim:91%)
Abrão, Larissa Guimarães Martins;100.0;2;Abrão, Larissa Guimarães Martins (Freq:2, Sim:100%)
Abucham, Julio;100.0;3;Abucham, Julio (Freq:3, Sim:100%)
Acauan, Laura Vargas;100.0;2;Acauan, Laura Vargas (Freq:2, Sim:100%)
Acciarri, Cristina;100.0;3;Acciarri, Cristina (Freq:3, Sim:100%)
Acevedo, Ana Carolina;97.5;2;Acevedo, Ana Carolina (Freq:2, Sim:100%) | Poppe, Ana Carolina Acevedo (Freq:1, Sim:95%)
Aciole, Paulo Henrique de Sá;100.0;3;Aciole, Paulo Henrique de Sá (Freq:3, Sim:100%)
Acle, Yussef Guardia Ismael;97.5;1;Acle, Yussef Guardia Ismael (Freq:1, Sim:100%) | Ismael Acle, Yussef Guardia (Freq:1, Sim:95%)
Acosta, María del Pilar Tobar;97.7;2;Acosta, María del Pilar Tobar (Freq:2, Sim:100%) | Acosta, María del Pilar Tobar (Freq:1, Sim:98%) | Tobar Acosta, María del Pilar (Freq:1, Sim:95%)
Acunha, Fernando José Gonçalves;100.0;4;Acunha, Fernando José Gonçalves (Freq:4, Sim:100%)
