Nome Escolhido;Certeza (%);Frequencia Final;Nomes Agrupados
Abbad, Gardênia da Silva;100.0;51;Abbad, Gardênia da Silva (Freq:51, Sim:100%)
Abbas, Cláudia Jacy Barenco;100.0;3;Abbas, Cláudia Jacy Barenco (Freq:3, Sim:100%)
Abdalla Júnior, Humberto;100.0;21;Abdalla Júnior, Humberto (Freq:21, Sim:100%)
Abdalla-Filho, Elias;100.0;2;Abdalla-Filho, Elias (Freq:2, Sim:100%)
Abers, Rebecca Neaera;100.0;26;Abers, Rebecca Neaera (Freq:26, Sim:100%)
Abrahão, Júlia Issy;100.0;16;Abrahão, Júlia Issy (Freq:16, Sim:100%)
Abrantes, Paulo Cesar Coelho;100.0;7;Abrantes, Paulo Cesar Coelho (Freq:7, Sim:100%)
Abreu, Alexandre Maduro;97.5;7;Abreu, Alexandre Maduro (Freq:7, Sim:100%) | Maduro-Abreu, Alexandre (Freq:2, Sim:95%)
Abreu, Breno Tenório Ramalho de;100.0;5;Abreu, Breno Tenório Ramalho de (Freq:5, Sim:100%)
Abreu, Delmary Vasconcelos de;100.0;25;Abreu, Delmary Vasconcelos de (Freq:25, Sim:100%)
Abreu, Lucijane Monteiro de;100.0;22;Abreu, Lucijane Monteiro de (Freq:22, Sim:100%)
Abreu, Teresa Lúcia Muricy de;100.0;3;Abreu, Teresa Lúcia Muricy de (Freq:3, Sim:100%)
Abreu-Rodrigues, Josele;100.0;27;Abreu-Rodrigues, Josele (Freq:27, Sim:100%)
Acciarri, Cristina;100.0;6;Acciarri, Cristina (Freq:6, Sim:100%)
Adghirni, Zélia Leal;100.0;19;Adghirni, Zélia Leal (Freq:19, Sim:100%)
Affonso Neto, Annibal;100.0;2;Affonso Neto, Annibal (Freq:2, Sim:100%)
Aggio, Natalia Maria;100.0;4;Aggio, Natalia Maria (Freq:4, Sim:100%)
Agostini-Costa, Tânia da Silveira;97.5;1;Agostini-Costa, Tânia da Silveira (Freq:1, Sim:100%) | Costa, Tânia da Silveira Agostini (Freq:1, Sim:95%)
Aguiar, Alexandre Kehrig Veronese;100.0;13;Aguiar, Alexandre Kehrig Veronese (Freq:13, Sim:100%)
Aguiar, Antonio José Camillo de;100.0;8;Aguiar, Antonio José Camillo de (Freq:8, Sim:100%)
Aguiar, Carla Silva Rocha;100.0;2;Aguiar, Carla Silva Rocha (Freq:2, Sim:100%)
Aguiar, Ludmilla Moura de Souza;100.0;29;Aguiar, Ludmilla Moura de Souza (Freq:29, Sim:100%)
Aguiar, Roberto Armando Ramos de;100.0;3;Aguiar, Roberto Armando Ramos de (Freq:3, Sim:100%)
Akutsu, Rita de Cássia Coelho de Almeida;100.0;13;Akutsu, Rita de Cássia Coelho de Almeida (Freq:13, Sim:100%)
Albuquerque, Olga Maria Ramalho de;100.0;2;Albuquerque, Olga Maria Ramalho de (Freq:2, Sim:100%)
Albuquerque, Pedro Henrique Melo;100.0;9;Albuquerque, Pedro Henrique Melo (Freq:9, Sim:100%)
Albuquerque, Robson de Oliveira;100.0;6;Albuquerque, Robson de Oliveira (Freq:6, Sim:100%)
Albuquerque, Éder Lima de;100.0;23;Albuquerque, Éder Lima de (Freq:23, Sim:100%)
Alcalde, Víctor Hugo Casanova;100.0;2;Alcalde, Víctor Hugo Casanova (Freq:2, Sim:100%)
Alchieri, Eduardo Adilio Pelinson;100.0;10;Alchieri, Eduardo Adilio Pelinson (Freq:10, Sim:100%)
Alencar, Ernandes Rodrigues de;100.0;13;Alencar, Ernandes Rodrigues de (Freq:13, Sim:100%)
Alencar, Eunice Maria Lima Soriano de;100.0;3;Alencar, Eunice Maria Lima Soriano de (Freq:3, Sim:100%)
Alfaro, Sadek Crisóstomo Absi;100.0;26;Alfaro, Sadek Crisóstomo Absi (Freq:26, Sim:100%)
Alfinito, Solange;100.0;15;Alfinito, Solange (Freq:15, Sim:100%)
Alho, Cleber José Rodrigues;100.0;5;Alho, Cleber José Rodrigues (Freq:5, Sim:100%)
