Orientador,Frequencia,Offset,Timestamp_Coleta
"Abbad, Gardênia da Silva",51,0,2026-01-04T14:25:22.943924
"Abbas, Cláudia Jacy Barenco",3,0,2026-01-04T14:25:22.943924
"Abdalla Júnior, Humberto",21,0,2026-01-04T14:25:22.943924
"Abdalla-Filho, Elias",2,0,2026-01-04T14:25:22.943924
"Abdelnur, Patrícia Verardi",1,0,2026-01-04T14:25:22.943924
"Abers, Rebecca Neaera",26,0,2026-01-04T14:25:22.943924
"Abib, Fernando Cesar",1,0,2026-01-04T14:25:22.943924
"Abrahão, Júlia Issy",16,0,2026-01-04T14:25:22.943924
"Abrantes, Paulo Cesar Coelho",7,0,2026-01-04T14:25:22.943924
"Abreu, Alexandre Maduro",7,0,2026-01-04T14:25:22.943924
"Abreu, Breno Tenório Ramalho de",5,0,2026-01-04T14:25:22.943924
"Abreu, Delmary Vasconcelos de",25,0,2026-01-04T14:25:22.943924
"Abreu, Helana Célia de Freitas",1,0,2026-01-04T14:25:22.943924
"Abreu, Lucijane Monteiro de",22,0,2026-01-04T14:25:22.943924
"Abreu, Teresa Lúcia Muricy de",3,0,2026-01-04T14:25:22.943924
"Abreu-Rodrigues, Josele",27,0,2026-01-04T14:25:22.943924
"Acciarri, Cristina",6,0,2026-01-04T14:25:22.943924
"Accornero, Guya",1,0,2026-01-04T14:25:22.943924
"Adghirni, Zélia Leal",19,0,2026-01-04T14:25:22.943924
"Affonso Neto, Annibal",2,0,2026-01-04T14:25:22.943924
"Aggio, Natalia Maria",4,0,2026-01-04T14:25:22.943924
"Agostini-Costa, Tânia da Silveira",1,0,2026-01-04T14:25:22.943924
"Aguayo, Leonardo",1,0,2026-01-04T14:25:22.943924
"Aguiar, Alexandre Kehrig Veronese",13,0,2026-01-04T14:25:22.943924
"Aguiar, Antonio José Camillo de",8,0,2026-01-04T14:25:22.943924
"Aguiar, Carla Silva Rocha",2,0,2026-01-04T14:25:22.943924
"Aguiar, Ludmilla Moura de Souza",29,0,2026-01-04T14:25:22.943924
"Aguiar, Roberto Armando Ramos de",3,0,2026-01-04T14:25:22.943924
"Aguiar, Ronaldo Conde",1,0,2026-01-04T14:25:22.943924
"Akutsu, Rita de Cássia Coelho de Almeida",13,0,2026-01-04T14:25:22.943924
"Albernaz, Lorena Carneiro",1,0,2026-01-04T14:25:22.943924
"Albuquerque, Conceição de Maria Alves de",1,0,2026-01-04T14:25:22.943924
"Albuquerque, Éder Lima de",23,0,2026-01-04T14:25:22.943924
"Albuquerque, Lidiamar Barbosa",1,0,2026-01-04T14:25:22.943924
"Albuquerque, Olga Maria Ramalho de",2,0,2026-01-04T14:25:22.943924
"Albuquerque, P.M.Xavier de",1,0,2026-01-04T14:25:22.943924
"Albuquerque, Pedro Henrique Melo",9,0,2026-01-04T14:25:22.943924
"Albuquerque, Robson de Oliveira",6,0,2026-01-04T14:25:22.943924
"Albuquerque, Rodrigo",1,0,2026-01-04T14:25:22.943924
"Alcalde, Víctor Hugo Casanova",2,0,2026-01-04T14:25:22.943924
"Alchieri, Eduardo Adilio Pelinson",10,0,2026-01-04T14:25:22.943924
"Alencar, Cristina Miranda de",1,0,2026-01-04T14:25:22.943924
"Alencar, Ernandes Rodrigues de",13,0,2026-01-04T14:25:22.943924
"Alencar, Eunice Maria Lima Soriano de",3,0,2026-01-04T14:25:22.943924
"Alfaro, Sadek Crisóstomo Absi",26,0,2026-01-04T14:25:22.943924
"Alfinito, Solange",15,0,2026-01-04T14:25:22.943924
"Alho, Cleber José Rodrigues",5,0,2026-01-04T14:25:22.943924
"Aliabadi, M. H.",1,0,2026-01-04T14:25:22.943924
"Aliaga Fuentes, Maribel Del Carmen",2,0,2026-01-04T14:25:22.943924
"Almarza, Sara",16,0,2026-01-04T14:25:22.943924
"Almeida Filho, Eclair Antonio",17,50,2026-01-04T14:25:25.147640
"Almeida Filho, Eclair de",1,50,2026-01-04T14:25:25.147640
"Almeida Filho, José Carlos Paes de",42,50,2026-01-04T14:25:25.147640
"Almeida Junior, Jose Maria Gonçalves de",1,50,2026-01-04T14:25:25.147640
"Almeida Júnior, Nalvo Franco",1,50,2026-01-04T14:25:25.147640
"Almeida Neto, Mário",1,50,2026-01-04T14:25:25.147640
"Almeida, Alexandre Nascimento de",23,50,2026-01-04T14:25:25.147640
"Almeida, Angela Maria de Oliveira",13,50,2026-01-04T14:25:25.147640
"Almeida, Débora Cristina Rezende de",13,50,2026-01-04T14:25:25.147640
"Almeida, Dulce Maria Filgueira de",17,50,2026-01-04T14:25:25.147640
"Almeida, Eneá de Stutz e",15,50,2026-01-04T14:25:25.147640
"Almeida, Fernanda Vasconcelos de",7,50,2026-01-04T14:25:25.147640
"Almeida, Inês Maria Marques Zanforlin Pires de",44,50,2026-01-04T14:25:25.147640
"Almeida, Jaime de",22,50,2026-01-04T14:25:25.147640
"Almeida, Jaime Gonçalves de",31,50,2026-01-04T14:25:25.147640
"Almeida, João Ricardo Moreira de",13,50,2026-01-04T14:25:25.147640
"Almeida, Júlio César Franco",1,50,2026-01-04T14:25:25.147640
"Almeida, Maria Cecília Pedreira de",6,50,2026-01-04T14:25:25.147640
"Almeida, Maria das Graças Gardoni",1,50,2026-01-04T14:25:25.147640
"Almeida, Maria do Rosário Guimarães",1,50,2026-01-04T14:25:25.147640
"Almeida, Maria Marques Zanforlin Pires de",1,50,2026-01-04T14:25:25.147640
"Almeida, Pedro Paulo Palazzo de",9,50,2026-01-04T14:25:25.147640
"Almeida, Ricardo Miyasaka de",9,50,2026-01-04T14:25:25.147640
"Almeida, Ricardo Titze de",16,50,2026-01-04T14:25:25.147640
"Almeida, Rodrigo Bonifácio de",17,50,2026-01-04T14:25:25.147640
"Almeida, Tânia Mara Campos de",22,50,2026-01-04T14:25:25.147640
"Almeida, Tati de",3,50,2026-01-04T14:25:25.147640
"Almeida, Vanessa Borges de",15,50,2026-01-04T14:25:25.147640
"Almeida, Wagner Santos de",4,50,2026-01-04T14:25:25.147640
"Almeida, Wellington Lourenço de",9,50,2026-01-04T14:25:25.147640
"Aló, Raquel Moreira",2,50,2026-01-04T14:25:25.147640
"Alonso López, Ramón Fabian",8,50,2026-01-04T14:25:25.147640
"Altafin, Iara Guimarães",2,50,2026-01-04T14:25:25.147640
"Alvarenga, Carlos José Souza de",12,50,2026-01-04T14:25:25.147640
"Alvarenga, Lídia",1,50,2026-01-04T14:25:25.147640
"Alvarenga, Magali Barçante",5,50,2026-01-04T14:25:25.147640
"Álvares, Alberto José",20,50,2026-01-04T14:25:25.147640
"Alvares, Lillian Maria Araújo de Rezende",17,50,2026-01-04T14:25:25.147640
"Alvarez, Maria Luisa Ortíz",3,50,2026-01-04T14:25:25.147640
"Alvarez, Rosicler Rocha Aiza",9,50,2026-01-04T14:25:25.147640
"Alves, Aline Teixeira",2,50,2026-01-04T14:25:25.147640
"Alves, Ana Cristina de Jesus",7,50,2026-01-04T14:25:25.147640
"Alves, Carlos André de Melo",12,50,2026-01-04T14:25:25.147640
"Alves, Cecília Brito",2,50,2026-01-04T14:25:25.147640
"Alves, Conceição de Maria Albuquerque",18,50,2026-01-04T14:25:25.147640
"Alves, Elioenai Dornelles",26,50,2026-01-04T14:25:25.147640
"Alves, Fernando Mascarenhas",12,50,2026-01-04T14:25:25.147640
"Alves, Flávia de Castro",6,50,2026-01-04T14:25:25.147640
"Alves, Geraldo Eleno Silveira",1,50,2026-01-04T14:25:25.147640
"Alves, Isabel Teresa Gama",14,50,2026-01-04T14:25:25.147640
"Alves, Janaína Soares",2,100,2026-01-04T14:25:27.375168
"Alves, Janaína Soares de Oliveira",3,100,2026-01-04T14:25:27.375168
"Alves, José Carlos Moreira",2,100,2026-01-04T14:25:27.375168
"Alves, Maria Elaene Rodrigues",1,100,2026-01-04T14:25:27.375168
"Alves, Ministro Moreira",1,100,2026-01-04T14:25:27.375168
"Alves, Plinio Ricardo Ganime",4,100,2026-01-04T14:25:27.375168
"Alves, Soraya Ferreira",16,100,2026-01-04T14:25:27.375168
"Alves, Vander Ramos",16,100,2026-01-04T14:25:27.375168
"Alvim, Clara de Andrade",1,100,2026-01-04T14:25:27.375168
"Alvim, Pedro de Andrade",4,100,2026-01-04T14:25:27.375168
"Amabile, Renato Fernando",1,100,2026-01-04T14:25:27.375168
"Amado, Adriana Moreira",11,100,2026-01-04T14:25:27.375168
"Amado, Veronica Moreira",8,100,2026-01-04T14:25:27.375168
"Amaral, Dino Macedo",1,100,2026-01-04T14:25:27.375168
"Amaral, Luciene Ferreira Gaspar",2,100,2026-01-04T14:25:27.375168
"Amaral, Sueli Angélica do",27,100,2026-01-04T14:25:27.375168
"Amaro, José Luis Martinez",7,100,2026-01-04T14:25:27.375168
"Amaro, Rosana",4,100,2026-01-04T14:25:27.375168
"Amato, Angélica Amorim",39,100,2026-01-04T14:25:27.375168
"Amato, Daniela Amorim",1,100,2026-01-04T14:25:27.375168
"Amato, Marco Antonio",13,100,2026-01-04T14:25:27.375168
"Amazonas, Maurício de Carvalho",10,100,2026-01-04T14:25:27.375168
"Amiel, Tel",5,100,2026-01-04T14:25:27.375168
"Amorim, Ariuska Karla Barbosa",17,100,2026-01-04T14:25:27.375168
"Amorim, Cláudia Naves David",37,100,2026-01-04T14:25:27.375168
"Amorim, Fábio Ferreira",4,100,2026-01-04T14:25:27.375168
"Amorim, José Salomão David",2,100,2026-01-04T14:25:27.375168
"Amorim, Karla Patrícia Cardoso",1,100,2026-01-04T14:25:27.375168
"Amorim, Ricardo Santos Silva",1,100,2026-01-04T14:25:27.375168
"Amorim, Rivadávio Fernandes Batista de",11,100,2026-01-04T14:25:27.375168
"Amorim, Ronni Geraldo Gomes de",27,100,2026-01-04T14:25:27.375168
"Amparo, Deise Matos do",26,100,2026-01-04T14:25:27.375168
"Amvame-Nze, Georges Daniel",13,100,2026-01-04T14:25:27.375168
"Ancona Lopez, André Porto",20,100,2026-01-04T14:25:27.375168
"Andorno, Roberto",1,100,2026-01-04T14:25:27.375168
"Andrada, Alexandre Flávio Silva",5,100,2026-01-04T14:25:27.375168
"Andrade Filho, João Evangelista de",1,100,2026-01-04T14:25:27.375168
"Andrade, Alan Carvalho",3,100,2026-01-04T14:25:27.375168
"Andrade, Bernardo Borba de",5,100,2026-01-04T14:25:27.375168
"Andrade, Carlos Kleber Zago de",25,100,2026-01-04T14:25:27.375168
"Andrade, Eduardo Dias de",1,100,2026-01-04T14:25:27.375168
"Andrade, Erika dos Reis Gusmão",1,100,2026-01-04T14:25:27.375168
"Andrade, Jairo Eduardo Borges",4,100,2026-01-04T14:25:27.375168
"Andrade, Joanlise Marco de Leon",4,100,2026-01-04T14:25:27.375168
"Andrade, Joaquim Pinto de",30,100,2026-01-04T14:25:27.375168
"Andrade, Josemberg Moura de",10,100,2026-01-04T14:25:27.375168
"Andrade, Laise Rodrigues de",1,100,2026-01-04T14:25:27.375168
"Andrade, Liza Maria Souza de",17,100,2026-01-04T14:25:27.375168
"Andrade, Manoel Pereira de",1,100,2026-01-04T14:25:27.375168
"Andrade, Marcelino Monteiro de",9,100,2026-01-04T14:25:27.375168
"Andrade, Mariana Malard Sales",1,150,2026-01-04T14:25:29.595137
"Andrade, Mariana Rosa Mastrella de",25,150,2026-01-04T14:25:29.595137
"Andrade, Michelle",18,150,2026-01-04T14:25:29.595137
"Andrade, Miguel Gally de",13,150,2026-01-04T14:25:29.595137
"Andrade, Rafael Leite Pinto de",1,150,2026-01-04T14:25:29.595137
"Andrade, Renata Marson Teixeira de",1,150,2026-01-04T14:25:29.595137
