Autor,Frequencia,Offset,Timestamp_Coleta
"Aalborg, Petar Popovski",1,0,2026-01-04T15:42:29.530614
"Abad, Maristela",1,0,2026-01-04T15:42:29.530614
"Abada, Christian Chukwuemeka",1,0,2026-01-04T15:42:29.530614
"Abade, André",1,0,2026-01-04T15:42:29.530614
"Abade, André da Silva",1,0,2026-01-04T15:42:29.530614
"Abade, Maíra Coelho",1,0,2026-01-04T15:42:29.530614
"Abade, Natanael Antunes",2,0,2026-01-04T15:42:29.530614
"Abadia, Ana Clara",1,0,2026-01-04T15:42:29.530614
"Abadia, Manuel Rodrigo Urbano",1,0,2026-01-04T15:42:29.530614
"Abadio, Ana Karina Rodrigues",3,0,2026-01-04T15:42:29.530614
"Abanto Ramos, Ivette Alejandra",1,0,2026-01-04T15:42:29.530614
"Abarca Alarcon, Maria Alejandra Claudia",1,0,2026-01-04T15:42:29.530614
"Abati, Flávia Rech",1,0,2026-01-04T15:42:29.530614
"Abbad, Gardênia da Silva",47,0,2026-01-04T15:42:29.530614
"Abbas, Claudia Jacy Barenco",1,0,2026-01-04T15:42:29.530614
"Abbehausen, Kaue Hermann",1,0,2026-01-04T15:42:29.530614
"Abdala, Bianca Ardanuy",1,0,2026-01-04T15:42:29.530614
"Abdala, Fábio de Andrade",1,0,2026-01-04T15:42:29.530614
"Abdala, Ingrid Gomes",2,0,2026-01-04T15:42:29.530614
"Abdalla Filho, Adibe Luiz",1,0,2026-01-04T15:42:29.530614
"Abdalla Filho, Elias",4,0,2026-01-04T15:42:29.530614
"Abdalla Júnior, Humberto",10,0,2026-01-04T15:42:29.530614
"Abdalla, Adibe Luiz",8,0,2026-01-04T15:42:29.530614
"Abdalla, Douglas Reis",1,0,2026-01-04T15:42:29.530614
"Abdalla, Dulcineia Saes Parra",3,0,2026-01-04T15:42:29.530614
"Abdalla, Lídia Freire",1,0,2026-01-04T15:42:29.530614
"Abdalla, Stefanie de Castro",1,0,2026-01-04T15:42:29.530614
"Abdalla-Santos, Suâmi",1,0,2026-01-04T15:42:29.530614
"Abdelaziz, Jamila de Souza",1,0,2026-01-04T15:42:29.530614
"Abdelkarem, Keila Núbia Barbosa Ibrahim",1,0,2026-01-04T15:42:29.530614
"Abdelmur, Samuel Barbosa Mezavila",1,0,2026-01-04T15:42:29.530614
"Abdo, Rodrigo Figueiredo",1,0,2026-01-04T15:42:29.530614
"Abe, Augusto Shinya",1,0,2026-01-04T15:42:29.530614
"Abe, Érica dos Santos",1,0,2026-01-04T15:42:29.530614
"Abe, Marcos Massaki",1,0,2026-01-04T15:42:29.530614
"Abegg, Ilse",1,0,2026-01-04T15:42:29.530614
"Abel, Luis Sozinho",1,0,2026-01-04T15:42:29.530614
"Abelha, Judith",1,0,2026-01-04T15:42:29.530614
"Abers, Rebecca Neaera",9,0,2026-01-04T15:42:29.530614
"Aberson, Christopher L.",1,0,2026-01-04T15:42:29.530614
"Abib, Fernando César",1,0,2026-01-04T15:42:29.530614
"Abicalil, Victor Guinancio e",1,0,2026-01-04T15:42:29.530614
"Abigalil, Albamaria Paulino de Campos",2,0,2026-01-04T15:42:29.530614
"Abila, Neleide (org.)",1,0,2026-01-04T15:42:29.530614
"Abinader, Bernardo Ale",1,0,2026-01-04T15:42:29.530614
"Abirached, Carlos Felipe de Andrade",1,0,2026-01-04T15:42:29.530614
"Aboud Neta, Sumaia Resegue",1,0,2026-01-04T15:42:29.530614
"Abrahão Filho, Eduardo Antonio",1,0,2026-01-04T15:42:29.530614
"Abrahão, Amanda Amaral",1,0,2026-01-04T15:42:29.530614
"Abrahão, André Luiz Andrade",1,0,2026-01-04T15:42:29.530614
"Abrahão, Júlia Issy",11,50,2026-01-04T15:42:33.853210
"Abrahim, M. A.",1,50,2026-01-04T15:42:33.853210
"Abram, Ulrich",1,50,2026-01-04T15:42:33.853210
"Abramovay, Pedro Vieira",1,50,2026-01-04T15:42:33.853210
"Abranches, Marcelo Cerqueira de",1,50,2026-01-04T15:42:33.853210
"Abrantes, Dayane Martins",1,50,2026-01-04T15:42:33.853210
"Abrantes, Lívia Carvalho Sette",1,50,2026-01-04T15:42:33.853210
"Abrantes, Luiz Paulo Rosa",1,50,2026-01-04T15:42:33.853210
"Abrantes, Patricia Paulino Muniz de",1,50,2026-01-04T15:42:33.853210
"Abrantes, Paulo Cesar Coelho",41,50,2026-01-04T15:42:33.853210
"Abrantes, Paulo Cesar Coelho (org.)",1,50,2026-01-04T15:42:33.853210
"Abrantes, Paulo Cesar Coelho (trad.)",1,50,2026-01-04T15:42:33.853210
"Abrão Filho, Aziz",1,50,2026-01-04T15:42:33.853210
"Abrão, Aline Lauria Pires",2,50,2026-01-04T15:42:33.853210
"Abrão, Ana Cristina Freitas de Vilhena",1,50,2026-01-04T15:42:33.853210
"Abrão, Camila Lima",1,50,2026-01-04T15:42:33.853210
"Abrão, Cristina Siquieroli",1,50,2026-01-04T15:42:33.853210
"Abrão, Fernando Y.",1,50,2026-01-04T15:42:33.853210
"Abrão, Fernando Yano",1,50,2026-01-04T15:42:33.853210
"Abrão, Karen Cristina",1,50,2026-01-04T15:42:33.853210
"Abrão, Larissa Guimarães Martins",2,50,2026-01-04T15:42:33.853210
"Abrão, Alcídio",1,50,2026-01-04T15:42:33.853210
"Abrão, Aline Lauria Pires",1,50,2026-01-04T15:42:33.853210
"Abras, Anuar",5,50,2026-01-04T15:42:33.853210
"Abreu Junior, Cicero Vidal de",1,50,2026-01-04T15:42:33.853210
"Abreu Júnior, Fernando Souza",1,50,2026-01-04T15:42:33.853210
"Abreu Júnior, Nelson de",1,50,2026-01-04T15:42:33.853210
"Abreu Neta, Izabel Castro de",2,50,2026-01-04T15:42:33.853210
"Abreu Neto, Virgílio de Barros",1,50,2026-01-04T15:42:33.853210
"Abreu, Adriana Trópia de",1,50,2026-01-04T15:42:33.853210
"Abreu, Alexandre Leandro Santos de",1,50,2026-01-04T15:42:33.853210
"Abreu, Aline Isabella Saraiva Costa de Souza",1,50,2026-01-04T15:42:33.853210
"Abreu, Amanda Maria Santos",3,50,2026-01-04T15:42:33.853210
"Abreu, Ana Paula",1,50,2026-01-04T15:42:33.853210
"Abreu, Ana Virgínia Passos",1,50,2026-01-04T15:42:33.853210
"Abreu, Andrea Bossle de",1,50,2026-01-04T15:42:33.853210
"Abreu, Andrezza Romenia Lima de",1,50,2026-01-04T15:42:33.853210
"Abreu, Ângela de Fátima Barbosa",1,50,2026-01-04T15:42:33.853210
"Abreu, Anísia Batista Oliveira de",1,50,2026-01-04T15:42:33.853210
"Abreu, Anna Karolina de Carvalho",2,50,2026-01-04T15:42:33.853210
"Abreu, Aryana Dias de",1,50,2026-01-04T15:42:33.853210
"Abreu, Breno Tenório Ramalho de",2,50,2026-01-04T15:42:33.853210
"Abreu, Carina Tostes",1,50,2026-01-04T15:42:33.853210
"Abreu, Carolina Gonçalves",2,50,2026-01-04T15:42:33.853210
"Abreu, Caroline Figueiredo Belo",1,50,2026-01-04T15:42:33.853210
"Abreu, Cilair Rodrigues de",1,50,2026-01-04T15:42:33.853210
"Abreu, Claudilene Lima de",2,50,2026-01-04T15:42:33.853210
"Abreu, Clezio Rodrigues de Carvalho",1,50,2026-01-04T15:42:33.853210
"Abreu, Daisy Maria Xavier de",3,50,2026-01-04T15:42:33.853210
"Abreu, Daniel dos Santos",1,50,2026-01-04T15:42:33.853210
"Abreu, Daniela Cavalcante de",1,100,2026-01-04T15:42:38.154880
"Abreu, Danielle Matos de Menezes",2,100,2026-01-04T15:42:38.154880
"Abreu, Delmary Vasconcelos de",1,100,2026-01-04T15:42:38.154880
"Abreu, Deniz Helena Pereira",1,100,2026-01-04T15:42:38.154880
"Abreu, Emanuel Felipe Medeiros",2,100,2026-01-04T15:42:38.154880
"Abreu, Emmanuel Sousa de",1,100,2026-01-04T15:42:38.154880
"Abreu, Fabrício Santos Dias de",2,100,2026-01-04T15:42:38.154880
"Abreu, Fani Costa de",1,100,2026-01-04T15:42:38.154880
