(Eco)constitucionalismo,1
(Multi)letramento,1
(Re)existência Magüta,1
(Re)tradução,1
"1,4-dihidropiridinas (DHPs)",1
17α-ethinilestradiol,1
1970,1
2'-fucosil-lactose,1
"2,4-D",1
2S albumins,1
4T1,1
5-fluorouracil,1
5-hidroximetilfurfural,1
5G,10
5HTTLPR,1
6-diacetilresorcinol,1
6-OHDA,1
8 de janeiro de 2023,1
8ª Bienal Internacional de Arte de São Paulo,1
A Casa dos Espíritos,1
A insustentável leveza do ser,1
A Rainha dos Cárceres da Grécia,1
A1AT,1
AAC (Codificação de aúdio avançada),1
AAJN,1
Ab initio,1
Abacate,5
Abacate - cultivo,1
Abacaxi - regeneração (Biologia),1
Abacaxi - reprodução,3
Abadiânia (GO),1
Abandono,2
Abandono animal,1
Abandono contratual,1
Abandono parental,1
ABAQUS,1
ABAQUS/CAE.,1
Abastecimento de água,30
Abastecimento de água - avaliação,5
Abastecimento de água - Brasil,2
Abastecimento de alimentos,6
Abastecimento de alimentos - Brasil,3
Abatedouros,3
Abdômen,3
Abdômen - cirurgia,1
"Abel, Niels Henrik, 1802-1829",1
"Abelardo, Pedro, 1079-1142- crítica e interpretação",1
Abelha,19
Abelha - aprendizagem,2
Abelha - distribuição das espécies,1
Abelha - espermatozóides,1
Abelha - produtos,1
Abelhas - morfologia,1
Abelhas carpinteiras,1
Abelhas pilhadoras,1
Abelhas solitárias,1
ABEn,1
Abertura comercial,1
Abertura da copa,1
Abertura de capital,2
Abertura de créditos adicionais,1
Abertura de dossel,2
Aberturas adjacentes,1
Abjeção,3
Ablação cardíaca,2
Ablação por cateter,4
Ablação por radiofrequência,17
Abóbora,4
Abóbora - cultivo,1
Abóbora híbrida,1
Abobrinha-da-mata - vírus,1
Abolicionismo,3
Abolicionistas,3
Abomaso,4
Abomasopatias,1
Abordagem,1
Abordagem bayesiana,3
Abordagem cartográfica,1
Abordagem centrada na pessoa,1
Abordagem comunicativa,4
Abordagem comunicativa intercultural,1
Abordagem da capacidade,1
Abordagem das configurações,1
Abordagem Epistemológica da Ciência da Informação,1
Abordagem interdisciplinar do conhecimento,14
Abordagem interdisciplinar do conhecimento na educação,4
Abordagem investigativa,2
Abordagem mediante tarefas,2
Abordagem metodológica,1
Abordagem modular,1
Abordagem multimétodo,1
Abordagem multimodal,1
Abordagem Nexus Água-Energia-Alimento,1
Abordagem P3Tech,1
Abordagem semântica,1
Abordagem sintática,1
Abordagem sociocultural,2
Abordagem territorial,2
Abordagem triangular,2
Aborto,46
Aborto - aspectos morais e éticos,10
Aborto - Brasil,2
Aborto - legislação,6
Aborto - pesquisa - Brasil,3
Aborto clandestino,3
Aborto induzido,3
Aborto legal,7
Aborto voluntário,1
Abrasão dentária,1
Abrasão química,1
"Abreu, Caio Fernando, 1948-1996",2
"Abreu, Tifanny Pereira de, 1984-",1
Abreugrafia do esôfago,1
Abrigos,1
Abrigos meteorológicos,1
Abrolhos,1
Abrolhos Bank,1
Abscesso,3
Abscesso - tratamento,1
Abscesso esplênico,2
Abscesso sintomático,1
Abscisão de fruto,1
Absenteísmo,14
Absorção,2
Absorção de conhecimento,1
Absorção de nutrientes,1
Absorciometria por dupla emissão de raios-x,1
Absorvedor acústico,1
Absorvedor dinâmico de vibrações,2
Absorvedores de energia híbrida,1
Absorvedores de energia preenchidos,1
Absorvedores dinâmicos,1
Absorvedores líquidos sintonizados,3
Absorvente higiênico,1
Abundância,3
Abundância de indivíduos,1
Abundância relativa,1
Abuso constitucional,1
Abuso de poder,1
Abuso parental,1
Abuso sexual,10
Abuso sexual - família,3
Abuso sexual - meninos,2
Abuso sexual infantil,12
Acabamentos em madeira,3
Acabamentos suaves e texturizados,1
Academias de ginástica,7
Açaí,8
Açaí - comércio,1
Açaizeiro,2
Açaizeiro - embriogênese somática,1
Acalasia esofágica,3
Acanthamoeba,1
Acanthoceras magdeburgense,1
Acanthoscurria paulensis,1
Ação - ferramenta - testes,1
Ação antrópica,1
Ação civil pública,1
Ação civil pública - Brasil,1
Ação coletiva,21
Ação coletiva (Processo civil),4
Ação coletiva - mercado,1
Ação cômica,1
Ação consorciada,1
Ação cultural,1
Ação curatorial,1
Ação de cohomogeneidade um,1
Ação de grupo,2
Ação de inconstitucionalidade,1
Ação de prestação de contas,6
Ação Direta de Inconstitucionalidade (ADI),6
Ação Direta de Inconstitucionalidade por Omissão (ADO),1
Ação educativa,1
Ação espectral,2
Ação física,1
Ação isométrica,1
Ação judicial,5
Ação jurídica de liberdade,1
Ação on-shell,1
Ação parlamentar,1
Ação pedagógica,1
Ação pedagógico-musical,1
Ação política,1
Ação prática e reflexiva,1
Ação pública,19
Ação social,8
Ação social - Porto Alegre (RS),1
Acapu,1
Acapulco,1
Acaricida,1
Ácaro,1
Ácaro de plantas,2
Ácaros,5
Ácaros plumícolas,1
Accipitridae neotropicais,1
Acclas,1
Accountability,45
Accountability democrática,1
Accountability horizontal,1
Accounting gimmicks,1
Accouting Standard Codification 842 (ASC 842),1
Accruals,1
Accruals discricionários,3
Accruals específicos,1
ACE2,2
Aceitabilidade,1
Aceitação de tecnologia,2
Aceleração de partículas,1
Aceleração EM,1
Aceleração social,1
Aceleracionismo,1
Aceleradores,2
Acelerômetros,2
Acentos e acentuação,2
Acervo,2
Acervo afrorreligioso,1
Acervo arquivístico,1
Acervo fotográfico,4
Acervo imagético,1
Acervo jurídico,1
Acervos digitais,5
Acervos digitais - agregação,2
Acervos digitais - política,1
Acervos digitalizados,1
Acervos documentais,1
Acervos em rede,1
Acervos históricos escolares,1
Acessibilidade,62
Acessibilidade - políticas públicas,1
Acessibilidade ao transporte local,1
Acessibilidade arquitetônica,1
Acessibilidade atitudinal,1
Acessibilidade conceitual,1
Acessibilidade cultural,4
Acessibilidade digital,2
Acessibilidade digital - manual,1
Acessibilidade física,1
Acessibilidade linguística,3
Acesso,1
Acesso à água,1
Acesso à arte,2
Acesso à cultura,3
Acesso à educação,1
Acesso à informação,48
Acesso à informação em saúde,1
Acesso à internet,5
Acesso à internet em casa,1
Acesso à justiça,33
Acesso à justiça substancial,1
Acesso a medicamentos,3
Acesso à saúde,9
Acesso a serviços públicos de saúde,7
Acesso à tecnologia,1
Acesso à universidade,2
Acesso aberto,14
Acesso aberto - Brasil,1
Acesso aberto à informação,35
Acesso ao crédito,1
Acesso aos serviços de saúde,29
Acesso dinâmico ao espectro,2
Acesso domiciliar à internet,1
Acesso múltiplo de antena fluida,1
Acesso oportunista ao espectro,1
Acesso universal,1
Acetamidase,1
Acetato de celulose,1
Acetato de lupeol,1
Acetilação,1
Acetilcolinesterase,5
Achados clínicos,1
Achatina fulica,1
AChE,1
"Achebe, Chinua",2
Achille Mbembe,1
Achourioti,1
Acidente aéreo,3
Acidente ofídico,3
Acidente vascular cerebral,26
Acidente vascular cerebral - pacientes,4
Acidente vascular cerebral isquêmico,4
Acidente vascular encefálico,1
Acidentes,3
Acidentes - fatores de risco,2
Acidentes - riscos,1
Acidentes - saúde,3
Acidentes de trabalho,12
Acidentes de trânsito,27
Acidentes de trânsito - Distrito Federal (Brasil),4
Acidentes de trânsito - estatística,2
Acidentes de trânsito - prevenção,2
Acidentes de trânsito - previsão,2
Acidentes do trabalho,12
Acidentes por quedas,3
Acidentes vasculares cerebrais,1
Acidez - resistência,1
Ácido 12-tungstofosfórico,1
Ácido 12-tungstofosfórico suportado,1
Ácido 12-tungstosilícico,1
Ácido 5-aminolevulínico,1
Ácido acético,2
Ácido acetilsalicílico,1
Ácido acrílico,1
Ácido aminolevulínico,1
Ácido anacárdico,16
Ácido benzóico,1
Ácido caínico,1
Ácido cítrico,8
Ácido clorogênico,1
Ácido docosahexaenoico,2
Ácido ferúlico,1
Ácido fólico,8
Ácido fosfórico,1
Ácido fosfotungstico,1
Ácido fosfotúngstico,1
Ácido gálico,1
Ácido glicérico,1
Ácido glicólico,1
Ácido glucônico,1
Ácido graxo monoinsaturado,1
Ácido hialurônico,6
Ácido hidroxâmico,1
Ácido húmico,3
Ácido isoanacárdico,1
Ácido kójico,1
Ácido labdânico,1
Ácido lático,13
Ácido láurico,1
Ácido linoleico,3
Ácido lipoteicóico,1
Ácido oléico,9
Ácido palmítico,1
Ácido pantotênico,1
Ácido poliláctico,1
Ácido polilático,1
Ácido ribonucléico,11
Ácido rosmarínico,2
Ácido salicílico,1
Ácido xilônico,2
Ácido xilônico - produção,2
Acidobacteria,1
Ácidos,10
Ácidos carboxílicos,1
Ácidos de Lewis,1
Ácidos fenólicos,1
